Batting index
3.11
13.6
6.34
5.75
3.41
3.96
9.21
10.5
1.72
10.1
1.38
6.81
7.05
1.84
6.7
6.7
4.4
5.61
8.17
5.02
7.72
1.51
6.51
3.88
16.2
10.3
5.66
4.77
