Team,Result,Toss,Bat,Opposition,Ground,Date
South Africa,lost,won,1st,India,Jamshedpur,12-Mar-00
South Africa,won,won,2nd,India,Faridabad,15-Mar-00
South Africa,lost,won,1st,India,Vadodara,17-Mar-00
South Africa,won,lost,1st,India,Nagpur,19-Mar-00
South Africa,won,lost,2nd,India,Sharjah,22-Mar-00
South Africa,won,lost,2nd,India,Sharjah,27-Mar-00
South Africa,lost,lost,2nd,India,Nairobi (Gym),13-Oct-00
South Africa,won,won,2nd,India,Johannesburg,05-Oct-01
South Africa,lost,lost,2nd,India,Centurion,10-Oct-01
South Africa,won,won,1st,India,East London,19-Oct-01
South Africa,won,won,2nd,India,Durban,26-Oct-01
South Africa,lost,lost,2nd,India,Colombo (RPS),25-Sep-02
South Africa,lost,lost,2nd,India,Dhaka,13-Apr-03
South Africa,won,lost,2nd,India,Dhaka,18-Apr-03
South Africa,aban,-,-,India,Dhaka,20-Apr-03
South Africa,n/r,lost,2nd,India,Dhaka,21-Apr-03
South Africa,won,won,2nd,India,Hyderabad (Deccan),16-Nov-05
South Africa,lost,lost,1st,India,Bangalore,19-Nov-05
South Africa,aban,-,-,India,Chennai,22-Nov-05
South Africa,won,won,2nd,India,Kolkata,25-Nov-05
South Africa,lost,lost,1st,India,Mumbai,28-Nov-05
South Africa,canc,-,-,India,Colombo (SSC),19-Aug-06
South Africa,canc,-,-,India,Colombo (RPS),26-Aug-06
South Africa,aban,-,-,India,Johannesburg,19-Nov-06
South Africa,won,won,1st,India,Durban,22-Nov-06
South Africa,won,won,1st,India,Cape Town,26-Nov-06
South Africa,won,won,1st,India,Port Elizabeth,29-Nov-06
South Africa,won,won,2nd,India,Centurion,03-Dec-06
South Africa,won,won,2nd,India,Belfast,26-Jun-07
South Africa,lost,lost,1st,India,Belfast,29-Jun-07
South Africa,lost,lost,1st,India,Belfast,01-Jul-07
South Africa,lost,won,2nd,India,Jaipur,21-Feb-10
South Africa,lost,lost,2nd,India,Gwalior,24-Feb-10
South Africa,won,won,1st,India,Ahmedabad,27-Feb-10
South Africa,won,won,1st,India,Durban,12-Jan-11
South Africa,lost,lost,2nd,India,Johannesburg,15-Jan-11
South Africa,lost,won,1st,India,Cape Town,18-Jan-11
South Africa,won,won,1st,India,Port Elizabeth,21-Jan-11
South Africa,won,lost,1st,India,Centurion,23-Jan-11
South Africa,won,lost,2nd,India,Nagpur,12-Mar-11
South Africa,lost,won,2nd,India,Cardiff,06-Jun-13
South Africa,won,lost,1st,India,Johannesburg,05-Dec-13
South Africa,won,lost,1st,India,Durban,08-Dec-13
South Africa,n/r,won,1st,India,Centurion,11-Dec-13
