Team,Result,Toss,Bat,Opposition,Ground,Date
England,lost,won,2nd,India,Bangalore,23 Nov 2008
England,lost,lost,1st,India,Cuttack,26 Nov 2008
England,canc,-,-,India,Guwahati,29 Nov 2008
England,canc,-,-,India,Delhi,2 Dec 2008
England,tied,lost,2nd,India,Bangalore,27 Feb 2011
England,n/r,won,2nd,India,Chester-le-Street,3 Sep 2011
England,won,won,2nd,India,Southampton,6 Sep 2011
England,won,won,2nd,India,The Oval,9 Sep 2011
England,tied,won,2nd,India,Lord's,11 Sep 2011
England,won,won,2nd,India,Cardiff,16 Sep 2011
England,lost,lost,2nd,India,Hyderabad (Deccan),14 Oct 2011
England,lost,won,1st,India,Delhi,17 Oct 2011
England,lost,won,1st,India,Mohali,20 Oct 2011
England,lost,won,1st,India,Mumbai,23 Oct 2011
England,lost,won,2nd,India,Kolkata,25 Oct 2011
England,won,won,1st,India,Rajkot,11 Jan 2013
England,lost,lost,2nd,India,Kochi,15 Jan 2013
England,lost,lost,1st,India,Ranchi,19 Jan 2013
England,lost,lost,1st,India,Mohali,23 Jan 2013
England,won,won,2nd,India,Dharamsala,27 Jan 2013
England,lost,won,2nd,India,Birmingham,23 Jun 2013
England,aban,-,-,India,Bristol,25 Aug 2014
England,lost,won,2nd,India,Cardiff,27 Aug 2014
England,lost,lost,1st,India,Nottingham,30 Aug 2014
England,lost,lost,1st,India,Birmingham,2 Sep 2014
England,won,lost,1st,India,Leeds,5 Sep 2014
