Team,Result,Toss,Bat,Opposition,Ground,Date
U.A.E.,lost,won,2nd,India,Sharjah,13-Apr-94
U.A.E.,lost,lost,2nd,India,Dambulla,16-Jul-04
,,,,,,
,,,,,,
